bn_id,personLabel,childLabel,date_value,year,date_prec,had_child_edtf,note,child,s,person,bn_dob_yr,bn_dod_yr,bn_dob,bn_dod,age,all_start_date,all_end_date,earliest,latest,start_age,last_age,latest_year,earliest_year
Q546,Adelaide Alexandra Cragg,,1883-06-21T00:00:00Z,1883,11,1883-06-21,,,Q546-408c0cf4-45be-66ca-9f67-4fd8f38a2cda,https://beyond-notability.wikibase.cloud/entity/Q546,1865,1947,1865-01-01T00:00:00Z,1947-10-15T00:00:00Z,18,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1883-06-21T00:00:00Z,1888-06-21T00:00:00Z,18,23,1888,1883
Q546,Adelaide Alexandra Cragg,,1886-05-21T00:00:00Z,1886,11,1886-05-21,,,Q546-1a00bc2f-4dbb-2328-38c6-c79c6414c76e,https://beyond-notability.wikibase.cloud/entity/Q546,1865,1947,1865-01-01T00:00:00Z,1947-10-15T00:00:00Z,21,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1883-06-21T00:00:00Z,1888-06-21T00:00:00Z,18,23,1888,1883
Q546,Adelaide Alexandra Cragg,,1888-06-21T00:00:00Z,1888,11,1888-06-21,,,Q546-8dd86ff7-43e8-5b6f-a306-ca6ab942e2f3,https://beyond-notability.wikibase.cloud/entity/Q546,1865,1947,1865-01-01T00:00:00Z,1947-10-15T00:00:00Z,23,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1883-06-21T00:00:00Z,1888-06-21T00:00:00Z,18,23,1888,1883
Q1006,Agnes Ramsay,,1880-01-01T00:00:00Z,1880,9,1880,,,Q1006-a5dd5abf-46a8-78c1-ee6d-36f7a29e5b0e,https://beyond-notability.wikibase.cloud/entity/Q1006,1852,1927,1852-01-01T00:00:00Z,1927-01-01T00:00:00Z,28,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1880-01-01T00:00:00Z,1894-01-01T00:00:00Z,28,42,1894,1880
Q1006,Agnes Ramsay,Margaret Ramsay,1881-01-01T00:00:00Z,1881,9,,,Q1028,Q1006-c446cdc2-4067-3048-cf27-58766465332f,https://beyond-notability.wikibase.cloud/entity/Q1006,1852,1927,1852-01-01T00:00:00Z,1927-01-01T00:00:00Z,29,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1880-01-01T00:00:00Z,1894-01-01T00:00:00Z,28,42,1894,1880
Q1006,Agnes Ramsay,,1886-01-01T00:00:00Z,1886,9,1886,,,Q1006-6d922b78-4437-5d88-9764-982f0061ecfb,https://beyond-notability.wikibase.cloud/entity/Q1006,1852,1927,1852-01-01T00:00:00Z,1927-01-01T00:00:00Z,34,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1880-01-01T00:00:00Z,1894-01-01T00:00:00Z,28,42,1894,1880
Q1006,Agnes Ramsay,,1888-01-01T00:00:00Z,1888,9,1888,,,Q1006-9b2f6ab2-4e30-e941-3b1f-a07b15fa5194,https://beyond-notability.wikibase.cloud/entity/Q1006,1852,1927,1852-01-01T00:00:00Z,1927-01-01T00:00:00Z,36,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1880-01-01T00:00:00Z,1894-01-01T00:00:00Z,28,42,1894,1880
Q1006,Agnes Ramsay,,1890-01-01T00:00:00Z,1890,9,1890,,,Q1006-0da3e2a4-4bd0-81f8-6850-02113e6f4133,https://beyond-notability.wikibase.cloud/entity/Q1006,1852,1927,1852-01-01T00:00:00Z,1927-01-01T00:00:00Z,38,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1880-01-01T00:00:00Z,1894-01-01T00:00:00Z,28,42,1894,1880
Q1006,Agnes Ramsay,,1894-01-01T00:00:00Z,1894,9,1894,,,Q1006-d3058492-4863-d9e4-2b7f-11ed2019ccef,https://beyond-notability.wikibase.cloud/entity/Q1006,1852,1927,1852-01-01T00:00:00Z,1927-01-01T00:00:00Z,42,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1880-01-01T00:00:00Z,1894-01-01T00:00:00Z,28,42,1894,1880
Q1088,Albina Lucy Cust Wherry,Beatrix Albina Wherry,1887-01-01T00:00:00Z,1887,9,,,Q1090,Q1088-7db0b2e4-404b-fbbb-3e35-875a98443627,https://beyond-notability.wikibase.cloud/entity/Q1088,1857,1929,1857-10-18T00:00:00Z,1929-03-04T00:00:00Z,30,1832-01-01T00:00:00Z,1942-01-01T00:00:00Z,1887-01-01T00:00:00Z,1887-01-01T00:00:00Z,30,30,1887,1887
