person,personLabel,date,year,date_precision,date_certainty,date_label,date_level,date_string,date_propLabel,prop_valueLabel,qual_date_prop,date_prop,prop_value,prop_label,month,day,m,nice_date,category,date_text,s
Q2895,Elizabeth Montagu,1718-10-02T00:00:00Z,1718,ymd,NA,point in time,main,1718-10-02,date of birth,NA,NA,P26,NA,date of birth,10,275,October,2 October 1718,birth,1718-10-02,Q2895-0DC511B8-8643-4962-A289-81E86D00DD9F
Q2884,Charlotte Campbell,1775-01-28T00:00:00Z,1775,ymd,NA,point in time,main,1775-01-28,date of birth,NA,NA,P26,NA,date of birth,1,28,January,28 January 1775,birth,1775-01-28,Q2884-80A8B173-EB8B-4363-AC18-84FFCB966D9A
Q3104,Elizabeth Fry,1780-05-21T00:00:00Z,1780,ymd,NA,point in time,main,1780-05-21,date of birth,NA,NA,P26,NA,date of birth,5,142,May,21 May 1780,birth,1780-05-21,Q3104-90F8F21B-9C3D-4877-A2B5-C68D9DFE492C
Q2883,Eliza Maria Gordon-Cumming,1795-01-01T00:00:00Z,1795,y,NA,point in time,main,1795-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1795,birth,1795-01-01,Q2883-F1A32710-7E3E-4F27-A98D-B6798F15C338
Q2884,Charlotte Campbell,1796-06-21T00:00:00Z,1796,ymd,NA,point in time,main,1796-06-21,was married in (PIT value),NA,NA,P130,NA,was married in,6,173,June,21 June 1796,other,1796-06-21,Q2884-AEF49404-E5D7-4AD3-B928-854B341D796E
Q3658,Margaret Emily Blaauw,1798-11-01T00:00:00Z,1798,ym,NA,point in time,main,1798-11-00,date of birth,NA,NA,P26,NA,date of birth,11,305,November,November 1798,birth,1798-11-01,Q3658-e14ce140-4e80-fbd4-3bea-10f43bf9a53c
Q898,Elizabeth Caroline Hamilton Gray,1800-04-03T00:00:00Z,1800,ymd,NA,point in time,main,1800-04-03,date of birth,NA,NA,P26,NA,date of birth,4,93,April,3 April 1800,birth,1800-04-03,Q898-08064515-4b24-e1e7-c070-fa2a0013aa5f
Q3104,Elizabeth Fry,1800-08-19T00:00:00Z,1800,ymd,NA,point in time,main,1800-08-19,was married in (PIT value),NA,NA,P130,NA,was married in,8,231,August,19 August 1800,other,1800-08-19,Q3104-016FAE20-C4BF-4C9C-B3E6-A6ECCA7B6239
Q2895,Elizabeth Montagu,1800-08-25T00:00:00Z,1800,ymd,NA,point in time,main,1800-08-25,date of death,NA,NA,P15,NA,date of death,8,237,August,25 August 1800,death,1800-08-25,Q2895-6796A9B3-4C52-4AF5-AC43-F9369791959B
Q2924,Sarah Elizabeth Hay-Williams,1801-07-09T00:00:00Z,1801,ymd,NA,point in time,main,1801-07-09,date of birth,NA,NA,P26,NA,date of birth,7,190,July,9 July 1801,birth,1801-07-09,Q2924-D50DDD8D-3BD6-48C7-9278-EBA8FBEC19E4
Q890,Katherine Fry,1801-08-22T00:00:00Z,1801,ymd,NA,point in time,main,1801-08-22,date of birth,NA,NA,P26,NA,date of birth,8,234,August,22 August 1801,birth,1801-08-22,Q890-2581F9EB-C3ED-4713-96C2-C80AD1337DD0
Q945,Charlotte Latham,1802-01-01T00:00:00Z,1802,y,NA,point in time,main,1802-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1802,birth,1802-01-01,Q945-dd5f1983-4001-1781-b991-7f78fffcd82f
Q1067,Emily Tite,1805-01-01T00:00:00Z,1805,y,NA,point in time,main,1805-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1805,birth,1805-01-01,Q1067-c2779f3f-40c0-071d-a676-b0c9e2c8319b
Q21,Louisa Hay Kerr,1806-01-01T00:00:00Z,1806,y,NA,point in time,main,1806-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1806,birth,1806-01-01,Q21-07bf043d-4b1b-e866-be56-594585d56a96
Q1093,Jane Williams,1806-02-01T00:00:00Z,1806,ymd,NA,point in time,main,1806-02-01,date of birth,NA,NA,P26,NA,date of birth,2,32,February,1 February 1806,birth,1806-02-01,Q1093-CB898FE9-0BAE-46BB-BF07-779DF1330C0A
Q2103,Hannah Jackson Gwilt,1807-01-01T00:00:00Z,1807,y,NA,point in time,main,1807-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1807,birth,1807-01-01,Q2103-2bcc99ef-450a-2314-abe4-41cecc874efd
Q1570,Mary Elizabeth Chesshyre,1807-01-01T00:00:00Z,1807,y,NA,point in time,main,1807-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1807,birth,1807-01-01,Q1570-b433aecf-4cc0-7264-e1db-c459980f269b
Q2360,Susan Maria ffarington,1809-01-01T00:00:00Z,1809,y,NA,point in time,main,1809-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1809,birth,1809-01-01,Q2360-ba657fbf-4640-38fa-9722-b8d6f4931eb0
Q1138,Emmeline Way,1810-01-01T00:00:00Z,1810,y,NA,point in time,main,1810-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1810,birth,1810-01-01,Q1138-a0729d20-4618-2f7b-65ef-bbe805530968
Q974,Christian Maclagan,1811-01-01T00:00:00Z,1811,y,NA,point in time,main,1811-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1811,birth,1811-01-01,Q974-750300A0-E642-492A-99A7-C065FFEAAA85
Q1023,Mary A. Powley,1811-01-01T00:00:00Z,1811,y,NA,point in time,main,1811-00-00,date of birth,NA,NA,P26,NA,date of birth,1,1,January,1811,birth,1811-01-01,Q1023-EA6053FA-72EA-4194-B33B-60BFF532A41A
Q1376,Charlotte Schreiber,1812-05-19T00:00:00Z,1812,ymd,NA,point in time,main,1812-05-19,date of birth,NA,NA,P26,NA,date of birth,5,140,May,19 May 1812,birth,1812-05-19,Q1376-269381ee-485f-27bf-434c-3b8d9fc02cde
