bn_id,person_label,position_label,organised_label,of_label,organised,of,organisation,position,work,start_time,end_time,point_in_time,precision_end_time,precision_start_time,precision_point_in_time,year_start_time,year_end_time,year_point_in_time,start_date,year1,decade,end_date,precision,is_mm,personLabel,person,statements,bn_dob,bn_dod,bn_dob_yr,bn_dod_yr,n_ext,organisation_ext,m,d,nice_date,s
Q747,Ada Goodrich-Freer,Lecturer (freelance),Association of Women Pioneer Lecturers,,Q697,,Association of Women Pioneer Lecturers,Q701,P17,,,1892-01-01T00:00:00Z,,,9,,,1892,1892-01-01T00:00:00Z,1892,1890,1892-01-01T00:00:00Z,9,other,Ada Goodrich-Freer,https://beyond-notability.wikibase.cloud/entity/Q747,45,1857-05-15T00:00:00Z,1931-02-24T00:00:00Z,1857,1931,2,Association of Women Pioneer Lecturers,January,1,1892,Q747-66d9b0d4-4eff-c12a-2cfc-45618b3c7247
Q536,Annie Abram,Lecturer (freelance),Women's Industrial Council,,Q2077,,Women's Industrial Council,Q701,P17,,,1911-01-01T00:00:00Z,,,9,,,1911,1911-01-01T00:00:00Z,1911,1910,1911-01-01T00:00:00Z,9,other,Annie Abram,https://beyond-notability.wikibase.cloud/entity/Q536,48,1869-05-26T00:00:00Z,1930-10-17T00:00:00Z,1869,1930,4,Women's Industrial Council,January,1,1911,Q536-cb5adfec-4b35-9c8b-b8c3-e5ae47f8f931
Q536,Annie Abram,Lecturer (freelance),Women's Industrial Council,,Q2077,,Women's Industrial Council,Q701,P17,,,1912-01-01T00:00:00Z,,,9,,,1912,1912-01-01T00:00:00Z,1912,1910,1912-01-01T00:00:00Z,9,other,Annie Abram,https://beyond-notability.wikibase.cloud/entity/Q536,48,1869-05-26T00:00:00Z,1930-10-17T00:00:00Z,1869,1930,4,Women's Industrial Council,January,1,1912,Q536-8ba68cac-426c-8aec-c163-a32420f44fd7
Q536,Annie Abram,Lecturer (freelance),Women's Industrial Council,,Q2077,,Women's Industrial Council,Q701,P17,,,1913-01-01T00:00:00Z,,,9,,,1913,1913-01-01T00:00:00Z,1913,1910,1913-01-01T00:00:00Z,9,other,Annie Abram,https://beyond-notability.wikibase.cloud/entity/Q536,48,1869-05-26T00:00:00Z,1930-10-17T00:00:00Z,1869,1930,4,Women's Industrial Council,January,1,1913,Q536-1c32e2fe-4353-d6a7-5995-978c9baa7317
Q931,Caroline Amy Hutton,Lecturer (freelance),,,,,none recorded,Q701,P17,,,1892-06-01T00:00:00Z,,,10,,,1892,1892-06-01T00:00:00Z,1892,1890,1892-06-01T00:00:00Z,10,other,Caroline Amy Hutton,https://beyond-notability.wikibase.cloud/entity/Q931,35,1860-01-01T00:00:00Z,1931-10-06T00:00:00Z,1860,1931,82,none recorded,June,1,June 1892,Q931-e5c4bbbd-42b2-90e0-7342-7aad2b8d34df
Q931,Caroline Amy Hutton,Lecturer (freelance),,,,,none recorded,Q701,P17,,,1892-11-01T00:00:00Z,,,10,,,1892,1892-11-01T00:00:00Z,1892,1890,1892-11-01T00:00:00Z,10,other,Caroline Amy Hutton,https://beyond-notability.wikibase.cloud/entity/Q931,35,1860-01-01T00:00:00Z,1931-10-06T00:00:00Z,1860,1931,82,none recorded,November,1,November 1892,Q931-b1172c3f-4139-9500-3cb3-9f5a15180ff4
Q1496,Daisy Emily Martin Clarke,Lecturer (freelance),,,,,none recorded,Q701,P17,,,1945-01-01T00:00:00Z,,,9,,,1945,1945-01-01T00:00:00Z,1945,1940,1945-01-01T00:00:00Z,9,other,Daisy Emily Martin Clarke,https://beyond-notability.wikibase.cloud/entity/Q1496,22,1891-01-01T00:00:00Z,1955-01-01T00:00:00Z,1891,1955,82,none recorded,January,1,1945,Q1496-e332ab83-406a-4fc6-b281-fbe65d9b54eb
Q668,Edith Bradley,Lecturer (freelance),,,,,none recorded,Q701,P17,,,1893-01-01T00:00:00Z,,,9,,,1893,1893-01-01T00:00:00Z,1893,1890,1893-01-01T00:00:00Z,9,other,Edith Bradley,https://beyond-notability.wikibase.cloud/entity/Q668,44,1859-01-01T00:00:00Z,1943-01-01T00:00:00Z,1859,1943,82,none recorded,January,1,1893,Q668-8659283f-4254-af36-c2a9-0ce6064628d4
Q668,Edith Bradley,Lecturer (freelance),,,,,none recorded,Q701,P17,,,1893-01-01T00:00:00Z,,,9,,,1893,1893-01-01T00:00:00Z,1893,1890,1893-01-01T00:00:00Z,9,other,Edith Bradley,https://beyond-notability.wikibase.cloud/entity/Q668,44,1859-01-01T00:00:00Z,1943-01-01T00:00:00Z,1859,1943,82,none recorded,January,1,1893,Q668-9503ab14-4726-e970-049a-5dcdb7a2914b
Q153,Eliza Jeffries Davis,Lecturer (Extension),University College London Extension Centre,,Q3020,,University College London Extension Centre,Q3021,P17,1915-01-01T00:00:00Z,1916-01-01T00:00:00Z,,9,9,,1915,1916,,1915-01-01T00:00:00Z,1915,1910,1916-01-01T00:00:00Z,9,other,Eliza Jeffries Davis,https://beyond-notability.wikibase.cloud/entity/Q153,61,1875-01-01T00:00:00Z,1943-10-30T00:00:00Z,1875,1943,15,University College London Extension Centre,January,1,1915,Q153-15f8e0fc-45a5-b410-354e-ea019ca6406c
